Title,Genre,Description,Year,Rating,Votes,Metascore
Mad Max: Fury Road,"Action,Adventure,Sci-Fi","A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",2015,8.1,632842,90.0
Wakefield,Drama,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,2016,7.5,291,61.0
Deepwater Horizon,"Action,Drama,Thriller","A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.",2016,7.2,89849,68.0
Allied,"Action,Drama,Romance","In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",2016,7.1,78079,60.0
A Monster Calls,"Drama,Fantasy",A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,2016,7.5,39134,76.0
Collateral Beauty,"Drama,Romance","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",2016,6.8,43977,23.0
Zootopia,"Animation,Adventure,Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,8.1,296853,78.0
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",2007,7.1,498821,50.0
The Avengers,"Action,Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,2012,8.1,1045588,69.0
Inglourious Basterds,"Adventure,Drama,War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,8.3,959065,69.0
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",2006,7.3,552027,53.0
Ghostbusters,"Action,Comedy,Fantasy","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",2016,5.3,147717,60.0
